Model #	Disease Area	Disease Feature	Category	Type	Application	Application Sub-Category	Biological Endpoints	Throughput	Relevance	Status	Year	First Author Name	DOI	
1	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Device development	Bioprosthetic heart valves	Medium / Low (Lab scale)	Supportive	Under development 	2019	Abbasi M.	10.1007/s10439-018-02129-5	
2	Myocardia Ischemia	NA	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Stent failure	Not relevant (e.g. in silico)	Supportive	Under development 	2019	Adjedj J.	10.1002/ccd.27718	
3	Occlusive Disease 	Carotid	in silico	FEM	Disease mechanism (exp/theor)	Disease etiology and risk factors	Subclavian steal syndrome	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Agujetas R.	10.1007/s10237-017-0898-2	
4	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device development	Heart valve-related disease	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Alavi S.H.	10.1007/s10439-016-1778-0	
5	Heart Valve Diseases 	Aortic Valve	in vitro with cells	2D culture 	Diagnosis of disease	Disease etiology and risk factors	Aortic calcification	Not relevant (e.g. in silico)	Supportive	Under validation	2017	Albanese I.	10.1161/ATVBAHA.116.308394	
6	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease therapy development	Prosthesis effectiveness evaluation	TMVR outcome prediction	Medium / Low (Lab scale)	Predictive	Optimisation	2019	Alharbi Y.	10.1016/j.jcct.2019.11.016	
7	Heart Failure 	NA	in silico	FEM	Disease therapy development	Prediction of device effects	LVAD Cannula effect and thrombus evaluation	Not relevant (e.g. in silico)	Predictive	Under development 	2017	Aliseda A.	10.1097/MAT.0000000000000443	
8	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Prosthesis effectiveness evaluation	Aortic bileaflet mechanical heart valve	Not relevant (e.g. in silico)	Direct	Standardised 	2014	Annerel S.	10.1016/j.medengphy.2014.05.004	
9	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Treatment of Tetralogy of Fallot	Medium / Low (Lab scale)	Supportive	Optimisation	2018	Anwar S.	10.1007/s11936-018-0594-2	
10	Cardiovascular Abnormalities including CCD 	NA	ex vivo	NA	Disease mechanism (exp/theor)	Diagnosis of diseases	Congenital heart disease	High (Automated)	Predictive	Optimisation	2013	Aoki Y. 	10.1016/j.ajhg.2013.05.021	
11	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Shunt banding	Medium / Low (Lab scale)	Supportive	Under development 	2016	Atlin C.R.	10.1016/j.jtcvs.2016.07.081	
12	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Prediction of device effects	Rupture of ballon-expandable stent	Not relevant (e.g. in silico)	Predictive	Under development 	2015	Auricchio F.	10.1016/j.ijfatigue.2015.02.002	
13	Occlusive Disease 	Veins	in silico	FEM	Disease therapy development	Disease etiology and risk factors	Inferior vena cava filters to prevent pulmonary embolism	Not relevant (e.g. in silico)	Predictive	Under development 	2016	Aycock K.I.	10.1007/s10439-016-1663-x	
