Breast cancer type	Disease area	Disease features	Category	Type	Cells	Source	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance
BC	BC	Angiogenesis	In silico	Algorithms	Immortalised cells	182R-6	Co-culture	2.5D	n/a	Biopsies	Diagnosis of disease	14–3-3Σ	High	n/a	Direct
IBC	Claudin-low BC	Anti-cancer drug delivery system	In vitro	Cell free	n/a	184A1	Culture	2D	Organoids	Liquid biopsies	Disease mechanism (exp./theor.)	CA 15-3	Low	No	n/a
	DCIS	Cancer Initiation and Development		Computational	Primary cell culture	184B5	MPS	3D	Scaffolds	n/a	Disease therapy develop.	17ΒHSD2	Medium	Yes	Supportive
	IBC	Cancer landscape		Ex vivo	Stem cells	184-HTERT	n/a	n/a	Spheroids	Organ slice	Drug develop./testing	17ΒHSD5			
	IDC	Cancer stem cells		Mathematical	Stem-cell like	212MT-1					Model/method develop. (exp.)	1A4			
	IDC/ILC	Cell culture strategy		Simulation		21MT-1					Model/method develop. (theor.)	1K3R4E			
		Circulating Cancer Cells/DNA Identification and Profiling				21MT-2					Model/method develop.(exp./theor.)	2,3-DIOXYGENASE			
		Drug Discovery and/or Testing				21NT					Model/method qualification	2B4			
		Immunology				21PT						4EBPI			
		Immunosensor				21T						4-KINASE			
		Immunotherapy				226L						5-HT7			
		Lumenogenesis				293A						5Α-REDUCTASE1			
		Metastasis				293T						96-WELL			
		Microenvironment				3T3-L1						A/B			
		Microenvironment-Tumor Interactions				578BST						A13			
		Patient stratification				578T						A2B			
		Pharmacokinetic study				A375						A2M			
		Pharmacological/Physical Treatment				A431						ABC			
		Risk Determination 				A549						ABCB1/P-GLYCOPROTEIN			
		Tumor Detection and Classification				A-549						ABCC5			
		Tumor Landscape				ADIPOCYTES						ABCG2			
						ADIPOSE						ABCG-2			
						ADIPOSE-DERIVED						ABL			
						ADSC						ABNORMALITIES			
						AS-B145-1R						ABSORBANCE			
						ASCS						ABSORPTION			
						ATCC						ACAT1			
						AU565						ACCUMULATION			
						BC-051						ACCURACY			
						BC-052						ACID			
						BC80						ACROSS			
						BCAP						ACTB			
						BCAP37						ACTIN			
						BCBM						ACTIVATING			
						BCK4						ACTIVATION			
						BCSCS						ACTIVITIES			
						BIOPSY						ACTIVITY			
						BM-468						ADAM12			
						BRAIN						ADAMS			
						BRC-17 						ADDUCT			
						BRC-196 						ADENOSINE			
						BRC-31						ADHERENT			
						BRC-32 						ADHESION			
						BRC-36 						ADIPOCYTE			
						BRM2A						ADIPOSE			
