Model no.	Breast cancer type	Disease area	Disease features	Category	Type	Cells	Source	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	DOI or link	First author name	Year
1	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	DCIS	Co-culture/MPS	3D	Spheroids	n/a	Drug develop./testing	cytotoxicity, morphology	Low	Yes	Direct	10.1039/c5lc00514k	Choi, Yoonseok	2015
2	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	T47D	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.); Disease therapy develop.	progesterone receptor	Low	Yes	Direct	10.1186/s13045-017-0462-7	Knutson, Todd P.	2017
3	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	cytotoxicity	Low	n/a	n/a	https://www.rjme.ro/RJME/resources/files/560115071076.pdf	Abuelba, Hussam	2015
4	BC	BC	Immunotherapy	In vitro	Cells	Immortalised cells	SKBR3	Culture	3D	Spheroids	n/a	Drug develop./testing; Model/method qualification	morphology, cytotoxicity	Low	Yes	Direct	10.32607/20758251-2017-9-1-38-43	Balalaeva, IV	2017
5	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT474 , MCF7	Culture	3D	Spheroids	n/a	Drug develop./testing	apoptosis	Low	Yes	Direct	10.1371/journal.pone.0137920	Rodriguez, Cristina E.	2015
6	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231, MCF10A	Culture/Co-culture	2.5D/3D	Spheroids	n/a	Drug develop./testing; Model/method develop. (exp.)	cytotoxicity	Low	n/a	Direct	10.1007/s10616-016-0062-3	Yildiz-Ozturk, Ece	2017
7	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	morphology, viability, cytotoxicity	High	Yes	Direct	10.1039/c5lc01139f	Sabhachandani, P.	2016
10	BC	BC	Cancer Initiation and Development	In vitro/In silico	Cells/Simulation	Immortalised cells	MCF7	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	cell viability	Low	n/a	Direct	10.1039/c8an00729b	Wu, Hancong	2018
12	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	BRCA1, HER2, cytotoxicity	Low	Yes	Direct	10.1088/1758-5090/aae270	Li, Wenfang	2019
13	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	GFP-expressing MDA-MB-231	MPS	3D	Spheroids	n/a	Model/method develop.(exp.)	cancer cell migration	Low	Yes	Direct	10.1063/1.5027183	Sano, Emi	2018
14	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231	Co-culture/MPS	3D	Scaffolds	n/a	Disease therapy develop.	cell morphology, anti-cancer drug efficacy and endothelial cytotoxicity	Low	Yes	Direct	10.1038/s41598-018-21075-9	Pradhan, Shantanu	2018
15	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MCF7	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	S6K1	Low	No	Direct	10.12688/f1000research.15447.1	Kosach, Viktoriia	2018
16	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231, CAFs	Culture/Co-culture	3D	Spheroids	n/a	Drug develop./testing	nanoparticle penetration	Low	Yes	n/a	10.1016/j.jconrel.2016.09.004	Priwitaningrum, Dwi L.	2016
17	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-453, MDA-MB-231 , HCC1937	MPS	3D	n/a	n/a	Disease therapy develop.	cytotoxicity	High	Yes	n/a	10.1186/s12885-017-3709-3	Lanz, Henriette L.	2017
