Model no.	Disease area	Disease feature 	Disease feature 1	Disease feature 2	Disease feature 3	Cellular Input	Model	Category	Type	Cells	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	Status	Content	Predictive	Year	First Author Name	Link to Abstract (DOI)
1	General	Angiogenesis	angiogenesis	 microenvironment		NK-92 	RPMI-8226	In vitro	Cells	Immortalized cells	Coculture	3D	Organoids	Biopsies	Disease mechanism (exp/theor)	tumor-infiltrating Lymphocytes (TIL), PD-L1, PD-1	Low	No	Supportive	Proof of Concept/Qualified externally	High	No	2018	Neal, JT	10.1016/j.cell.2018.11.021
2	General	Immunotherapy	immunotherapy			n/a	T-cells	In vitro/In silico	Cells / Computational	Primary cell culture	MPS	2D	n/a	n/a	Model/method dev - exp Model/method dev - theor	immunotoxicity, proteomic profiling	Low	Yes	Direct	Proof of Concept	High	Yes	2017	Xue, Q	10.1186/s40425-017-0293-7
3	Non-Small Cell Lung Cancer	Immunotherapy	CIK cell infusion therapy			n/a	PBMCs, NK	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	immunotoxicity, citokynes	Low	Yes	Direct	Proof of Concept	High	No	2017	Yu, BD	10.3892/etm.2017.4562
4	General	Immunotherapy	immunotherapy			n/a	n/a	In silico	Simulation	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	CEA-IL2v plasma concentrations	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Ribba, B	10.1158/1078-0432.CCR-17-2953
5	General	Anti-Cancer Therapy	anti-cancer drug delivery system			T-cells	HEK293	In vitro/In silico	Cells / Simulation	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Du, JF	10.1186/s12964-018-0239-9
6	Breast Cancer	Anti-Cancer Therapy	anti-cancer therapy	 immunoomdulation		n/a	MCF-7, HCC-1954	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity	Medium	Yes	Direct	Qualified externally	Low	No	2016	Rodriguez-Serrano, F	10.2147/IJN.S112560
7	Haematological Cancer	Immunotherapy	T-cell therapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	citokynes, IL12	Low	No	Direct	Proof of Concept	Low	Yes	2018	Hopkins, B	10.1016/j.ifacol.2018.09.039
8	Colon Adenocarcinomas , Cervix Adenocarcinoma , Gastric Tumor Cell, Pancreas Adenocarcinoma	Immunotherapy	immunotherapy			T-cells	Colo 205, HT-29 and Colo 320, Colon adenocarcinoma cells, HeLa cervix adenocarcinoma cells, MKN45 gastric tumor cell and Bx-PC3 pancreas adenocarcinoma	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	T-cell response	High	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Kroemer, M	10.1080/2162402X.2017.1412030
9	Non-Small Cell Lung Cancer	Cancer initiation and develop.	cancer initiation and dev			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	LRIG1 , correlation	Low	Yes	Direct	Proof of Concept	Low	Yes	2015	Kvarnbrink, S	10.3109/0284186X.2015.1021427
10	Medulloblastoma, Pleomorphic Xanthoastrocytoma	Immunotherapy	immunotherapy			n/a	3 medulloblastoma cell lines (18), D283 and D341, and 2 PXA cell lines, 645 and 2363	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Drug dev/testing	poliovirus receptor (PVR), CD155, immunotoxicity, viral propragation, cell proliferation	High	Yes	Direct	Qualified externally	High	No	2018	Thompson, EM	10.1093/jnen/nly045
11	General	Anti-Cancer Therapy	anti-cancer therapy			n/a	n/a	In silico	Simulation	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	citotoxicity	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Hoffman, F	10.1016/j.jtbi.2017.09.031
12	Lung, Cervical Carcinoma, Leukemia And Pancreatic Cancer	Immunotherapy	immunotherapy			T-cells	H2087 (ATCC/CRL-5922), HeLa and Panc-1	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	Biopsies	Disease therapy dev	citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Medium	No	2014	Tal, Y	10.18632/oncotarget.1919
13	Breast Cancer, Ovarian Cancer, Gastric Cancer, Esophageal Cancer Transformed Embryonic Kidney And Retinoblast Cells	Anti-Cancer Therapy	anti-cancer therapy			n/a	BT-474, CAMA-1, MDA-MB-435, MDA-MB-436, SK-BR-3, CaOV-3, OVCAR-3, SKOV-3, N87, OE19, transformed embryonic kidney 293, retinoblast 911 cells, JIMT-1, HEY,  MKN-28, MKN-45 	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	citotoxicity	Low	Yes	Supportive	Qualified externally	Low	No	2016	Liikanen, I	10.1158/1535-7163.MCT-15-0819
14	Breast Cancer	Anti-Cancer Therapy/Immunomodulation	Radiotherapy immunomodulation			T-cells	MDA-MB-453, MCF-7, MBA-MB-231	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	T-cell response,  MHC class-I and class-II, major histocompatibility complex class I-related chain A/B, Fas, IL-1 beta and TNF-alpha, PD-L1	Low	Yes	Direct	Proof of Concept	Low	No	2017	Muraro, E	10.3389/fimmu.2017.01476
15	Lung Cancer	Immunotherapy	immunotherapy			NK-92	A-549	In vitro	Cells	Immortalized cells	Coculture	2D/3D	Spheroids	n/a	Disease therapy dev	cell homing, immune invasion of tumor spheroids, and spheroid cytotoxicity	Medium	Yes	Direct	Qualified externally	Low	No	2018	Sherman, H	10.3389/fimmu.2018.00857
16	Multiple Myeloma	Immunotherapy	immunotherapy			NK-92	MM	In vitro	Cells	Immortalized cells	MPS	2D	n/a	n/a	Disease mechanism (exp/theor)	citotoxicity, PD1/PDL1 axis	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2019	Sarkar, S	10.1016/j.snb.2018.11.068
