Disease area	Disease feature 	Disease feature 1	Disease feature 2	Disease feature 3	Cellular Input	Model	Category	Type	Cells	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance		Status	Content	Predictive
Acute B Lymphoblastic Leukemia	Adoptive Cell Therapy	adoptive cell therapy	 anti-cancer therapy	anti-cancer therapy	293FT	 721.221.AEH	In silico	Algorithms	Immortalized cells	Coculture	2D	n/a	Biopsies	Diagnosis of disease	 Bcl-2 and cIAP-2 , citotoxicity, TNFalpha, Apo3L and FasL, NF-kappa B 	High	No	Direct		Proof of Concept	High	No
Acute Lymphoblastic Leukemia	Allele population study	adoptive immunotherapy	 anti-cancer treatment		Activated iNKT cells, CAR-T cells	 aAPC/mOKT3 cell (source K562), NALM-6	In vitro	Cell free	Immortalized cells / primary cell culture	Culture	2D/3D	Organoids	n/a	Diagnosis of disease Model/method dev - theor	 BETi and CTLA-4 inhibitor effect and correlation	Low	Yes	Supportive		Proof of Concept/Qualified externally	Low	Yes
Acute Myeloid Leukemia	Angiogenesis	allele population study	 biomarkers		Adaptive NK Cells	 B16-F10 melanoma	In vitro/In silico	Cell free / Ex vivo	Immortalized cells / Stem cells	Culture / Coculture	3D	Scaffolds	Organ slice	Disease mechanism (exp/theor)	 Cancer Cells and T Cells	Medium				Proof of Concept/Qualified internally	Medium	
Anaplastic Large Cell Lymphoma	Anti-Cancer Therapy	angiogenesis	 Cancer and patient classification		autologous T cells,	 CD3(+) CD8(+) T cells		Cell free / Simulation	n/a	MPS	n/a	Spheroids		Disease mechanism (exp/theor) Disease therapy dev	 CD25 and TRAIL R2/DR5					Qualified externally		
Anaplastic Thyroid Carcinoma	Anti-Cancer Therapy/Immunomodulation	anti-cancer drug delivery system	 cancer initiation and dev		B cells,T cells 	 H460 (lung), LNCaP (prostate), MCF-7 (estrogen receptor positive breast cancer) and MDA-MB-231 (triple negative breast cancer) 		Cells	Primary cell culture	n/a				Disease mechanism (exp/theor) Drug dev/testing	 CD3 and CD8, correlation					Qualified internally		
B-Cell Malignancies	Anti-Cancer Therapy/Immunotherapy	anti-cancer drug design and discovery	 chemiotherapy		CAFs	 HCC-1187, HCC-70, BT20, MCF-7, MDA-MB-231, BC		Cells / Cell free	Primary cell culture / Stem cells					Disease mechanism (exp/theor) Model/method dev - exp	 CD8+ T cell proliferation, induction of MDSCss					Qualified internally/Qualified externally		
Bladder Cancer	Biomarkers	anti-cancer therapy	 drug design and discovery		CAR	 HCT-116		Cells / Computational	Primary cell culture / Stem-cell like					Disease mechanism (exp/theor) Model/method dev - theor	 DEFA6, ABCB1 and GAL, mutational profile,ALDH1							
Bladder Urothelial Carcinoma	Cancer classification	anti-cancer treatment	 immunoclassification		CAR, NK92	 HCT-116, HT-29, RKO, SW480, and SW620		Cells / Ex vivo						Disease therapy dev	 dynamics between the bacillus Calmette-Guarin (BCG) vaccine concentration, immune-system and tumor cells							
Breast Cancer	Cancer initiation and develop.	antibody dev	 immunomodulation		CD27 memory cells	 HepG2, PLC/PRF/5, and Hep3B		Cells / Ex vivo /Computational						Disease therapy dev Drug dev/testing	 IL-10 and TGF- receptors, citotxicity							
Breast Cancer, Head And Neck Squamous Cell Carcinomas	Cell isolation and processing	autologous adoptive cell therapy	 immunoomdulation		CIK cells	 K562 and NB4		Cells / Mathematical						Disease therapy dev Model/method dev - exp	 IL-12 and GM-CSF expression							
Breast Cancer, Non-Hodgkin’S B-Cell Lymphoma	Chemiotherapy	biomarkers	 Immunotherapy		CIK, DC-CIK	 KLM-1 and T3M4, Panc-2 		Cells / Simulation						Disease therapy dev Model/method dev - theor	 IL12p70 and IFN-gamma, P38, MACD, migration							
Breast Cancer, Ovarian Cancer	Drug design and discovery	cancer classification	 microenvironment		CIKs	 LNCaP, Du-145, 22RV1		Computational						Drug dev/testing	 let-7a and let-7b , D3 + , CD8 + , CD45RO (PTPRC) + , and FOXP3 + cell densities, correlation							
Breast Cancer, Ovarian Cancer, Gastric Cancer, Esophageal Cancer Transformed Embryonic Kidney And Retinoblast Cells	Gene therapy	cancer identification and classification	 microenvironment 		CIKs, CAR-T	 MDA-MB-231, BT-474		Ex vivo						Drug dev/testing Model/method dev - exp	 MMP-9, IDO, apoptosis, GM-CSF, TNF-α, and IFN-γ							
Breast Cancer, Prostate Cancer, Lung Carcinoma	Genomic landscape	cancer initiation and dev	 patient immunoprofile		Complement Factor H Antibodies	 renal cell carcinoma cells RCC4, UMRC2, Caki-2, A-498 and 786–0		Ex vivo / Computational						Drug dev/testing Model/method dev - theor	 NY-ESO1, multiple members of the MAGE and SSX families and NY-SAR35, SSX2, epigenetic profiles, RNA profile							
Breast, Colon And Prostate Cancers	Identification and characterization of circulating cells or DNA	cell isolation and processing	 patient stratification		CTLs	 SK-BR-3		Mathematical						Model/method dev - exp	 PD-L1, clinical outcome correlation							
Burkitt’S Lymphoma	Immunomodulation	chemioimmunotherapy	 radiotherapy		CTLs 	 SK-BR-3 (Her2(+)) and MDA-MB-231 (Her2(-)).		Simulation						Model/method dev - exp Model/method dev - theor	 TNF, IFNG and FOXP3 methylation, correlation							
Cervical Cancer	Immunoprofiling	Chemiotherapy	 virotherapy		CTLs, DCs	 T cells 								Model/method dev - theor	16INK4a, CD56, correlation							
Cervical Cancer 	Immunotherapy	CIK cell infusion therapy			cytokine induced Killer cells (CIK)	 U251, A172 (IL-13R2 +ve) and T98G (IL-13R2 -ve) glioma cell lines								Model/method qualification	1A3 , apoptosis							
Cholangiocarcinoma	Immunotherapy/Anti-cancer therapy	drug design and discovery			cytokine-induced-Killer	 U87, HEK293T 									4-1BB, CD3, CD4, CD8, CD16, CD56, CD57, Granzyme B, T-bet, γδ T-cell receptor (TCR), CD27, CD28, CD45, CD45RA, CD45RO, CCR7, BTLA , PD-1, KLRG1, IFNγ secretion, TILs growth and CD8+ count							
Chronic Lymphocytic Leukemia	Microenvironment	gene therapy			DC	22RV1, Du-145, MCF-7, H460, SUM149									4-1BB, T cells count, citotoxicity, IFN-gamma							
Chronic Myelogenous Leukemia	Patient Stratification	genomic landscape			DC cells	253J, T24									ABCB5, cytokines,  IFN‐γ, TNF-α							
Chronic Myeloid Leukemia	Radiotherapy	identification and characterization of circulating cells or DNA			DCs	26 NSCLC cell lines (list not available)									ADAM10, NKG2DLs and ADAM10 and ADAM17, degranulation, citotoxiciy							
Clear Cell Renal Cell Carcinomas	Tumor characterization	immunomodulation			DCs, citotoxic Lymphocytes	293F and 293FT,  PC10, H226, LK2 and LC-1, A-549, REPF-LC-MS, VMRC-LCD and ABC-1, Biopsies									ADAM17, cell viability							
Colon Adenocarcinomas	Tumor classification	immunoprofiling			DCs, T cells	293T									ADCC, CD16a or FcγRIIIa, proliferation, citotoxicity							
Colon Adenocarcinomas , Cervix Adenocarcinoma , Gastric Tumor Cell, Pancreas Adenocarcinoma	Virotherapy 	immunotherapeutic agents design and discovery			DCs, T-cells	293T, U87-MG (ATCC, HTB-14), LN-18 (ATCC, CRL-2610), PC3 (ATCC, CRL-1435), MDA-MB-231BR									ADCC, degranulation							
Colon Cancer		immunotherapy			dendritic cell lysate	3 medulloblastoma cell lines (18), D283 and D341, and 2 PXA cell lines, 645 and 2363									Adenosine A2a Receptor, citotoxicity, PD-1							
Colorectal And Prostate Cancer		immunotherapy (photoimmunotherapy)			Dendritic cells	3AO, A2780, HO-8910, OVCAR-3 and SKOV-3, K562									AK2 and STAT1, miR-21							
Colorectal Cancer		landscape 			Dendritic cells (DCs) and cytotoxic T-Lymphocytes (CTLs)	55 cell lines, 139 Biopsies									AKAP4							
Craniopharyngioma 		microenvironment			dendritic cells, T-Regs, CTLs	55 cell lines, Biopsies									alpha-SMA, CK19, morphology, citotoxicity							
Cutaneous Angiosarcoma		Patient Stratification			exosomes	55 patient-derived melanoma cell lines									AMPK/Akt/mTOR pathway, IL-2, IL-10, insulin-like growth factor (IGF)-beta and vascular endothelial growth factor (VEGF), proliferation, invasion							
Cutaneous T-Cell Lymphoma		Radiotherapy			gamma delta T cells	8505-c, TPC1, BHT101-5									Ang, RNH1, cytotoxicity							
Diffuse Large B-Cell Lymphoma		Radiotherapy immunomodulation			HCT- 116 and MCF-7 lysates	9 CTC primary cell lines									angiogenesis,  cell-adhesion							
Edwig Sarcoma, Neuroblastoma		Radiotherapy immunotherapy			hepatic stellate cells	A-253 cells, FaDu cells, IMC-3, M108, K562-MSLN									angiogenesis, caspase-3, p53, proliferation,  IL-6, TNF-α and IFN-γ, and a EGFR, CD4, CD8							
