Model no.	Disease area	Disease feature	Category	Type	Application/ aim	Biological or disease-specific endpoint	Assay Throughput/ Content	Relevance	Potential/Future developments	DOI	Author name	Year
1	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/medium	Medium - Attempting to recapitulate fluid-protein interaction in vitro to explore amyloid protein aggregates and possible aggregate-inhibitors	A more complete in vitro microfluidic system for studying protein aggregation (e.g. including cells)	http://dx.doi.org/10.1021/acschemneuro.7b00285	Gospodarczyk	2017
2	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Drug developm/ testing	Protein dysfunction: BACE1	High (automatic)/low	Low - Method of screening therapeutics, BACE1 inhibitors	Could be applied to additional small molecule libraries	http://dx.doi.org/10.1007/s00216-017-0617-y	Liu	2017
3	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	Low - Diagnosis of disease by detection of Amyloid Beta, clinically relevant sensitivity	The high sensitivty of the device suggests that it may be a useful tool in clinical diagnosis	http://dx.doi.org/10.1038/s41598-017-14338-4	Yoo	2017
4	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Drug developm/ testing	Protein dysfunction: BACE1	High (automatic)/low	Low - Method of screening therapeutics, BACE1 inhibitors	Could be integrated into fully automated system	http://dx.doi.org/10.1016/j.chroma.2017.08.065	Roman	2017
5	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	Low - Diagnosis of disease by detection of Amyloid Beta, clinically relevant sensitivity	May be adapted to detection of other biomarkers	http://dx.doi.org/10.3390/bios7030029	Dai	2017
6	AD	Neuroinflammation	2D or 3D co-culture	Neurospheres/3D model	Drug developm/ testing	Changed protein expression	High (automatic)/medium	High - throughput of 96well compatible format >1000 microwells per plate. Complex co-culture with high content for drug candidate screening	Model likely to be used for high throughput drug candidate screening	http://dx.doi.org/10.1038/s41598-018-20436-8	Jorfi	2018
7	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	Low - Diagnosis of disease by detection of Amyloid Beta,	Magnetic Bead assay could automated for high throughput	http://dx.doi.org/10.1016/j.snb.2017.09.003	Mai	2018
8	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	Low - Diagnosis of disease by detection of Amyloid Beta,	Magnetic Bead assay could automated for high throughput	http://dx.doi.org/10.1016/j.bios.2014.10.042	Kim	2015
9	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	High (automatic)/medium	Medium - Platform for studying in vitro protein-protein interaction	Can be used for a variety of proteins and determination of many characteristics	http://dx.doi.org/10.1016/j.bios.2014.11.025	Wang	2015
10	Several NDD	Exploratory/ no specific feature	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein	Low-medium/low	Medium - Platform for fibril growth (PD-related)	Could be used for identification of compunds that affect protein misfolding	http://dx.doi.org/10.1016/j.jmb.2015.01.020	Woerdehoff	2015
11	PD	Neuroinflammation	Lab/brain on chip or microfluidic system	Co-culture model (multiple cells)	Disease mechanism (exp/theor)	Oxidative/nitrosative stress	High (automatic)/medium	Medium - In vitro platform for investigation of reactive oxygen species 	Could be used to study generation of chemotaxis gradients 	http://dx.doi.org/10.3389/fnins.2016.00511	Fernandes	2016
12	PD	Protein aggregation	Lab/brain on chip or microfluidic system	Co-culture model (multiple cells)	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein	High (automatic)/medium	Medium - In vitro platform for investigation of a-Syn	Could be used to study generation of chemotaxis gradients 	http://dx.doi.org/10.3389/fnins.2016.00512	Fernandes	2017
13	Several NDD	Exploratory/ no specific feature	Lab/brain on chip or microfluidic system	Other	Disease mechanism (exp/theor)	Mitochondrial dysfunction	High (automatic)/medium	Medium - In vitro platform for measuring mitochondrial migration in axons	Could be applied to specific disease-state models as a tool for monitoring disease progression	http://dx.doi.org/10.1007/s13238-016-0268-3	Chen	2016
14	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	Low - SPR platform used for measuring amyloid beta concentration	High sensitivity suggests could be used for clinical diagnosis of AD	http://dx.doi.org/10.3938/jkps.69.793	Kim	2016
15	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Peptides	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	Medium - In vitro platform for measuring APP uptake/processing in neurites	Could be used to investigate neurite specific response to drug candidates	http://dx.doi.org/10.1002/adhm.201600895	Li	2017
16	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of Disease	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	Low - Diagnosis of disease by detection of Amyloid Beta,	Concentrations seem too low to be clinically relevant	http://dx.doi.org/10.3390/s151025746	Tao	2015
17	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	Low - Diagnosis of disease by detection of Amyloid Beta,	should be replicated in biofluid, compared with other Abeta detection mechanisms	http://dx.doi.org/10.1016/j.aca.2015.08.036	Lien	2015
18	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	Low - Diagnosis of disease by detection of Amyloid Beta,	Sensitivity needs to be increased to be useful in clincial setting	http://dx.doi.org/10.1063/1.4931394	Mohamadi	2015
19	Several NDD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Protein dysfunction: Tau (phosphorylation)	High (automatic)/low	Low - Diagnosis of disease by detection of Tau-proteins genreal NDD	May be adapted to detection of other biomarkers	http://dx.doi.org/10.3390/bios7010010	Dai	2017
20	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Drug developm/ testing	Protein dysfunction: Tau (phosphorylation)	High (automatic)/low	Low - Essentially this is just a method of fluorescence measurement in droplets	The system could be used to screen other aggreagte inhibtors	http://dx.doi.org/10.1021/acs.analchem.6b04039	Courtney	2017
21	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	Low - Diagnosis of disease by detection of Amyloid Beta,	Could be developed to further improve sensitivity and miniaturise	http://dx.doi.org/10.1039/c6lc00013d	Park	2016
22	Several NDD	Exploratory/ no specific feature	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Protein dysfunction: Tau (phosphorylation)	High (automatic)/medium	Low - Diagnosis of disease. Sensitivity is less than immunoassasys	Next step of device development is to sho the detection of Tau bound MTs in CSF, improve sensitivity	http://dx.doi.org/10.1016/j.snb.2016.07.082	Parimalam	2017
23	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Differentiated human cells: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	High (automatic)/medium	Medium - Gives new insight into the processing/sorting/migration of APP that may lead to amyloid beta aggreates. Could be used for therapeutic screening	The development of more representative models, that include human neurons along with novel measurements of the cellular location of APP processing and Aβ secretion, represent important steps to overcoming this disease	http://dx.doi.org/10.1091/mbc.E14-06-1049	Niederst	2015
24	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Neurospheres/3D model	Model/method development - experim	Protein dysfunction: amyloid peptide (any version)	High (automatic)/medium	High - An advanced in vitro model featuring perfused neurospheres	Linear flow pattern causes a range of spheroid sizes, needs further refinement, lacks electrophysilogical measurements	http://dx.doi.org/10.1039/c4lc00962b	Park	2015
25	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/medium	Low - Explores specific amyloid beta gene varients and their fibril growth	This study was already an extension of previous microfluidic model	http://dx.doi.org/10.1093/hmg/ddu409	Zhu	2014
26	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Fibrils	Disease therapy developm	Protein dysfunction: amyloid peptide (any version)	Low-medium/medium	Medium - Nanoparticles designed to bind and degrade amyloid beta fibrils	The method could be extended to fruther prove out the magnetic nanoparticles as a practical treatment option	http://dx.doi.org/10.1039/c8tb00206a	Hassan	2018
27	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	High (automatic)/medium	Low - Diagnosis of disease by detection of amyloid beta	Suggestions to explore the device in vivo	http://dx.doi.org/10.1016/j.ab.2018.05.031	Zakaria	2018
28	AD	Neuroinflammation	Lab/brain on chip or microfluidic system	Co-culture model (multiple cells)	Model/method development - experim	Other	Low-medium/high	High - An advanced in vitro model tri-culture with multiple endpoints	Requires validation to in vivo models, has high potential for further studies in pathogenesis and for thereapeutic screening	http://dx.doi.org/10.1038/s41593-018-0175-4	Park	2018
29	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Other	Model/method development - experim	Apoptosis/cell death	Low-medium/medium	Medium - A limited invitro model, essentially just a 2D culture chamber with a gradient	Could be used for other gradient-based studies. Findings are limited to animal cells, so far, should be done wiht human cells	http://dx.doi.org/10.1038/srep01921	Choi	2013
30	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Activation of microglia	Low-medium/medium	Medium - A limited invitro model, essentially just a 2D culture chamber with a gradient	Platform could be used to investigate other cytokines and their effect on microglial localisation	http://dx.doi.org/10.1038/srep01823	Cho	2013
31	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Drug developm/ testing	Protein dysfunction: APP	High (automatic)/medium	Low - A tool for screening APP cleaving factors (BACE1) and inhibitors	Could be set-up for high throughput screening of libraries, reusable	http://dx.doi.org/10.1021/ac303624z	Yi	2013
32	AD	Exploratory/ no specific feature	Lab/brain on chip or microfluidic system	Co-culture model (multiple cells)	Disease mechanism (exp/theor)	Multiple biological endpoints	High (automatic)/medium	Medium - Strong in vitro co-culture  capable of modeling B-amyloid induced dieback	Model could be applied to many different neuronal co-cultures and somatic-dendritic dyamics	http://dx.doi.org/10.1186/s40478-014-0145-3	Delegise	2014
33	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	High (automatic)/medium	Low - Diagnosis of disease by detection of amyloid beta	Method should be characterised using clinical samples and in serum/plasma	http://dx.doi.org/10.1016/j.bios.2013.03.077	Gagni	2013
34	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	High (automatic)/medium	Low - Diagnosis of disease by detection of amyloid beta	Method should be characterised using clinical samples and in serum/plasma	http://dx.doi.org/10.1021/la500695y	Ammar	2014
35	AD	Neuroinflammation	Lab/brain on chip or microfluidic system	Co-culture model (multiple cells)	Drug developm/ testing	Oxidative/nitrosative stress	High (automatic)/medium	Medium - In vitro model optimised for testing of neuroprotective compounds,  capable of quantifying somal and axonal specific neurodegeneration	Platform could be used to investigate other neuroprotective compounds	http://dx.doi.org/10.1016/j.expneurol.2013.12.016	Tegenge	2014
36	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	High (automatic)/medium	Medium - In Vitro model that allows for qualitative evaulation of amyloid aggregate growth	Could be used to test compounds for inhibition of aggregate growth	http://dx.doi.org/10.1021/ac303181q	Cheng	2013
37	AD	Neuroinflammation	Lab/brain on chip or microfluidic system	Co-culture model (multiple cells)	Model/method development - experim	Activation of microglia	Low-medium/medium	Medium - Vascularised 3d co-culture method, relatively manual and low throughput	Author suggests integration of TEER, move from pdms -> thermoplastics	http://dx.doi.org/10.1039/c2lc41033h	Achyute	2013
