Disease Area	Disease Feature	Category	Specific Category	Type	Application	Biological Endpoints	Throughput	Potential
Allergic rhinitis	Airflow patterns	2D or 3D co-culture		1205Lu metastatic melanoma	Comparison of barrier integrity 	Airway Constriction	High Throughput(Automated)	Biomarker Discovery
Asthma	Airway Remodelling	2D or 3D Culture		16HBE	Diagnosis of disease	Airway remodelling	Medium / Low (Lab scale)	Disease Progression
Cigarettes	Angiogenesis	3D Spheroid Co-culture		16HBE14o- Human Bronchial Epithelial Cell Line	Disease mechanism (exp/theor)	Airway Surface Liquid (ASL) volume	Not relevant (e.g. In silico)	Drug Development
COPD	Barrier Function / Integrity	Biochemical/cell-free assay		1HAEo2 cells 	Disease therapy development	Apoptosis		Drug Discovery
Cystic Fibrosis	Bronchial Dysplasia	Bioreactor		3T3 Mouse fetal fibroblasts	Disease Treament	Bioeleectric Properties		High Potential to become a disease model
Lung Cancer	Bronchoconstriction / Bronchodilation	Chip or microfluidic system		3T3J2 Swiss mouse fibroblast cell line	Drug development/ testing	Cell /  Tissue Morphology		Mechanistic Studies
Pulmonary Fibrosis	Chloride channel function	Computational/in silico		3T3-L1 pre-adipose cells	Identification of Biomarkers	Cell / Tissue Contraction		Pathogenesis
Respiratory Disease - General	CTFR Activity	Human/patient ex-vivo tissue or body fluids 		95-D human lung carcinoma	Inhalation toxicity	Cell migration		Personalised therapy
Toxicity	Drug resistance (chemotherapy)	Human/patient primary or stem cells 		A549 cell line	Lung injury	Cell motility		Toxic insult/response
Tuberculosis	EGF/EGFR expression	Human-derived cell lines		Airway epithelial ALI culture	Mimics lung microenvironment	Cell proliferation		Unknown
	Elastin Viability	Organoid model 		Alveolar epithelial type II (ATII) cells 	Mimics tumour development	Cellular crosstalk		
	Emphysema	Other		Alveolar macrophages	Model development - experim	Chemotaxis		
	Epithelial Mesenchymal Transition (EMT)	Spheroid		Anip973	Model development - theoret	Cillia beating Frequency		
	Epithelial/fibroblastic cross-talk			BAL Eosinophils	Model of Human Airway Mucosa	CTFR Activity		
	Exploratory/ no specific feature			BEAS2B	Model validation	Cytokine Release		
	Gene expression			BEAS-2B	Study of lung surfactant	Cytotoxicity		
	Goblet Cell metaplasia			BJ fibroblasts	Toxicity	DNA damage		
	Healing / repair			Bronchial epithelial biopsy tissue 		Elastin levels		
	Hypoxia			Calu-3		Epithelial Mesenchymal Transition (EMT)		
	Idiopathic Pulmonary Fibrosis (IPF)			Calu-6		Gene expression		
	Infection			Cancer-associated fibroblasts (LuCAFs)		Imaging		
	Inflammation			CCL-153		Immunohistochemistry/immunofluorescence		
	Metastasis			CCL-210 fibroblasts		Infection		
	Mucosal Clearance			CF cell line (CuFi-1)		Inflammatory Mediators		
	Mucous Production			CFBE41o-		Intracellular Ca2＋ changes		
	Oxidative stress			CL1-5		Macrophage activity		
