Model no.	Disease Area	Disease Feature	Category	Type	Application	Biological Endpoints	Throughput	Potential	Notes	Reference	DOI	Authors	Year	Citation Index (Scopus)	Citation Index  (WOS)
1	Lung Cancer	Epithelial Mesenchymal Transition (EMT)	3D Spheroid Co-culture	A549 cell line	Disease mechanism (exp/theor)	Gene expression	Medium / Low (Lab scale)	Mechanistic Studies		Chitosan-hyaluronan based 3D co-culture platform for studying the crosstalk of lung cancer cells and mesenchymal stem cells	https://doi.org/10.1016/j.actbio.2016.06.014	Han, HW., Hsu, SH.	2016	16	16
1	Lung Cancer	Epithelial Mesenchymal Transition (EMT)	3D Spheroid Co-culture	Mesenchymal Stem Cells (MSCs)	Disease mechanism (exp/theor)	Gene expression	Medium / Low (Lab scale)	Mechanistic Studies		Chitosan-hyaluronan based 3D co-culture platform for studying the crosstalk of lung cancer cells and mesenchymal stem cells	https://doi.org/10.1016/j.actbio.2016.06.014	Han, HW., Hsu, SH.	2016	16	16
2	Lung Cancer	Angiogenesis	3D Spheroid Co-culture	A549 cell line	Disease mechanism (exp/theor)	Vascularisation	Medium / Low (Lab scale)	Mechanistic Studies		Lung Adenocarcinoma Cell Responses in a 3D in Vitro Tumor Angiogenesis Model Correlate with Metastatic Capacity	https://doi.org/10.1021/acsbiomaterials.7b00011	Roudsari, LC., Jeffs, SE., West, JL.	2018	2	2
2	Lung Cancer	Angiogenesis	3D Spheroid Co-culture	murine 344SQ	Disease mechanism (exp/theor)	Vascularisation	Medium / Low (Lab scale)	Mechanistic Studies		Lung Adenocarcinoma Cell Responses in a 3D in Vitro Tumor Angiogenesis Model Correlate with Metastatic Capacity	https://doi.org/10.1021/acsbiomaterials.7b00011	Roudsari, LC., Jeffs, SE., West, JL.	2018	2	2
2	Lung Cancer	Angiogenesis	3D Spheroid Co-culture	murine 393P	Disease mechanism (exp/theor)	Vascularisation	Medium / Low (Lab scale)	Mechanistic Studies		Lung Adenocarcinoma Cell Responses in a 3D in Vitro Tumor Angiogenesis Model Correlate with Metastatic Capacity	https://doi.org/10.1021/acsbiomaterials.7b00011	Roudsari, LC., Jeffs, SE., West, JL.	2018	2	2
3	Lung Cancer	EGF/EGFR expression	2D or 3D Culture	A549 cell line	Drug development/ testing	Gene expression	Medium / Low (Lab scale)	Drug Discovery		Bioengineering three-dimensional culture model of human lung cancer cells: an improved tool for screening EGFR targeted inhibitors	https://doi.org/10.1039/c6ra00229c	Wang, DD., Liu, W., Chang, JJ., Cheng, X., Zhang, XZ., Xu, H., Feng, D., Yu, LJ., Wang, XL.	2016	7	6
4	Lung Cancer	Tissue/Cell Viability	Chip or microfluidic system	A549 cell line	Drug development/ testing	Tissue / Cell Viability	Medium / Low (Lab scale)	Drug Discovery		Microfluidic chip for non-invasive analysis of tumor cells interaction with anti-cancer drug doxorubicin by AFM and Raman spectroscopy	https://doi.org/10.1063/1.5024359	Zhang, H., Xiao, LF., Li, QF., Qi, XJ., Zhou, AH.	2018	6	5
5	Pulmonary Fibrosis	Angiogenesis	2D or 3D co-culture	Human Pericytes	Model development - experim	Vascularisation	Medium / Low (Lab scale)	Mechanistic Studies		Primary Human Lung Pericytes Support and Stabilize In Vitro Perfusable Microvessels	https://doi.org/10.1089/ten.tea.2014.0545		2015		
6	Lung Cancer	Exploratory/ no specific feature	2D or 3D co-culture	OncoCil Air cultures	Mimics lung microenvironment	Imaging	Medium / Low (Lab scale)	Disease Progression		Health state dependent multiphoton induced autofluorescence in human 3D in vitro lung cancer model	https://doi.org/10.1038/s41598-017-16628-3	Kilin, V., Mas, C., Constant, S., Wolf, JP., Bonacina, L.	2017	-	1
7	Lung Cancer	Toxicity	Spheroid	HepRG (liver cells)	Inhalation toxicity	Metabolism	Medium / Low (Lab scale)	Toxic insult/response		A lung/liver-on-a-chip platform for acute and chronic toxicity studies	https://doi.org/10.1039/c8lc01029c	Bovard, D., Sandoz, A., Luettich, K., Frentzel, S., Iskandar, A., Marescotti, D., Trivedi, K., Guedj, E., Dutertre, Q., Peitsch, MC., Hoeng, J.	2018	2	1
7	Lung Cancer	Toxicity	2D or 3D co-culture	Primary human NHBE cells	Inhalation toxicity	Metabolism	Medium / Low (Lab scale)	Toxic insult/response		A lung/liver-on-a-chip platform for acute and chronic toxicity studies	https://doi.org/10.1039/c8lc01029c	Bovard, D., Sandoz, A., Luettich, K., Frentzel, S., Iskandar, A., Marescotti, D., Trivedi, K., Guedj, E., Dutertre, Q., Peitsch, MC., Hoeng, J.	2018	2	1
8	Lung Cancer	Structural Changes	2D or 3D Culture	A549 cell line	Drug development/ testing	Morphology	Medium / Low (Lab scale)	Disease Progression		Culturing substrates influence the morphological, mechanical and biochemical features of lung adenocarcinoma cells cultured in 2D or 3D	https://doi.org/10.1016/j.tice.2017.11.003	Prina-Mello, A., Jain, N., Liu, BY., Kilpatrick, JI., Tutty, MA., Bell, AP., Jarvis, SP., Volkov, Y., Movia, D.	2018	4	4
9	Lung Cancer	Toxicity	Spheroid	A549 cell line	Drug development/ testing	Tissue / Cell Viability	Medium / Low (Lab scale)	Drug Discovery		Preclinical Assessment of the Bioactivity of the Anticancer Coumarin OT48 by Spheroids, Colony Formation Assays, and Zebrafish Xenografts	https://doi.org/10.3791/57490	Lee, JY., Mazumder, A., Diederich, M.	2018	2	2
9	Lung Cancer	Toxicity	Other	A549 cell line	Drug development/ testing	Tissue / Cell Viability	Medium / Low (Lab scale)	Drug Discovery		Preclinical Assessment of the Bioactivity of the Anticancer Coumarin OT48 by Spheroids, Colony Formation Assays, and Zebrafish Xenografts	https://doi.org/10.3791/57490	Lee, JY., Mazumder, A., Diederich, M.	2018	2	2
9	Lung Cancer	Tissue/Cell Viability	Other	Other	Drug development/ testing	Tissue / Cell Viability	Medium / Low (Lab scale)	Drug Discovery		Preclinical Assessment of the Bioactivity of the Anticancer Coumarin OT48 by Spheroids, Colony Formation Assays, and Zebrafish Xenografts	https://doi.org/10.3791/57490	Lee, JY., Mazumder, A., Diederich, M.	2018	2	2
10	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	A549 cell line	Mimics tumour microenvironment	Morphology	Medium / Low (Lab scale)	Disease Progression		Bioinstructive microparticles for self-assembly of mesenchymal stem Cell-3D tumor spheroids	https://doi.org/10.1016/j.biomaterials.2018.09.007	Ferreira, LP., Gaspar, VM., Mano, JF.	2018	3	1
10	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	Human primary dermal fibroblasts	Mimics tumour microenvironment	Morphology	Medium / Low (Lab scale)	Disease Progression		Bioinstructive microparticles for self-assembly of mesenchymal stem Cell-3D tumor spheroids	https://doi.org/10.1016/j.biomaterials.2018.09.007	Ferreira, LP., Gaspar, VM., Mano, JF.	2018	3	1
10	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	Mesenchymal Stem Cells (MSCs)	Mimics tumour microenvironment	Morphology	Medium / Low (Lab scale)	Disease Progression		Bioinstructive microparticles for self-assembly of mesenchymal stem Cell-3D tumor spheroids	https://doi.org/10.1016/j.biomaterials.2018.09.007	Ferreira, LP., Gaspar, VM., Mano, JF.	2018	3	1
11	Lung Cancer	Gene expression	2D or 3D co-culture	Other	Model development - experim	mRNA expression	Medium / Low (Lab scale)	Toxic insult/response		Impact Assessment of Repeated Exposure of Organotypic 3D Bronchial and Nasal Tissue Culture Models to Whole Cigarette Smoke	https://doi.org/10.3791/52325	Kuehn, D., Majeed, S., Guedj, E., Dulize, R., Baumer, K., Iskandar, A., Boue, S., Martin, F., Kostadinova, R., Mathis, C., Ivanov, NV., Frentzel, S., Hoeng, J., Peitsch, MC.	2015	16	13
12	Lung Cancer	Drug resistance (chemotherapy)	Spheroid	A549 cell line	Drug development/ testing	Other	Medium / Low (Lab scale)	Drug Discovery		Bionic 3D spheroids biosensor chips for high-throughput and dynamic drug screening	https://doi.org/10.1007/s10544-018-0329-x	Wu, Q., Wei, XW., Pan, YX., Zou, YC., Hu, N., Wang, P.	2018	2	0
12	Lung Cancer	Drug resistance (chemotherapy)	Spheroid	H1299 human lung carcinoma	Drug development/ testing	Other	Medium / Low (Lab scale)	Drug Discovery		Bionic 3D spheroids biosensor chips for high-throughput and dynamic drug screening	https://doi.org/10.1007/s10544-018-0329-x	Wu, Q., Wei, XW., Pan, YX., Zou, YC., Hu, N., Wang, P.	2018	2	0
12	Lung Cancer	Drug resistance (chemotherapy)	Spheroid	H460 human lung carcinoma	Drug development/ testing	Other	Medium / Low (Lab scale)	Drug Discovery		Bionic 3D spheroids biosensor chips for high-throughput and dynamic drug screening	https://doi.org/10.1007/s10544-018-0329-x	Wu, Q., Wei, XW., Pan, YX., Zou, YC., Hu, N., Wang, P.	2018	2	0
13	Lung Cancer	Toxicity	2D or 3D Culture	A549 cell line	Disease therapy development	Tissue / Cell Viability	Medium / Low (Lab scale)	Personalised therapy		A combined tissue-engineered/insilico signature tool patient stratification in lung cancer	https://doi.org/10.1002/1878-0261.12323	Gottlich, C., Kunz, M., Zapp, C., Nietzer, SL., Walles, H., Dandekar, T., Dandekar, G.	2018	2	2
13	Lung Cancer	Toxicity	2D or 3D Culture	HCC827	Disease therapy development	Tissue / Cell Viability	Medium / Low (Lab scale)	Personalised therapy		A combined tissue-engineered/insilico signature tool patient stratification in lung cancer	https://doi.org/10.1002/1878-0261.12323	Gottlich, C., Kunz, M., Zapp, C., Nietzer, SL., Walles, H., Dandekar, T., Dandekar, G.	2018	2	2
13	Lung Cancer	Toxicity	2D or 3D Culture	Human lung tumour tissue	Disease therapy development	Tissue / Cell Viability	Medium / Low (Lab scale)	Personalised therapy		A combined tissue-engineered/insilico signature tool patient stratification in lung cancer	https://doi.org/10.1002/1878-0261.12323	Gottlich, C., Kunz, M., Zapp, C., Nietzer, SL., Walles, H., Dandekar, T., Dandekar, G.	2018	2	2
13	Lung Cancer	Toxicity	2D or 3D Culture	Other	Disease therapy development	Tissue / Cell Viability	Medium / Low (Lab scale)	Personalised therapy		A combined tissue-engineered/insilico signature tool patient stratification in lung cancer	https://doi.org/10.1002/1878-0261.12323	Gottlich, C., Kunz, M., Zapp, C., Nietzer, SL., Walles, H., Dandekar, T., Dandekar, G.	2018	2	2
14	Lung Cancer	Exploratory/ no specific feature	2D or 3D Culture	Primary human NHBE cells	Model development - experim	Morphology	Medium / Low (Lab scale)	Unknown		Human Airway Primary Epithelial Cells Show Distinct Architectures on Membrane Supports Under Different Culture Conditions	https://doi.org/10.1007/s12013-016-0719-8	Min, KA., Rosania, GR., Shin, MC.	2016	3	2
15	Lung Cancer	Tumour microenvironment	3D Spheroid Co-culture	Human PBMC	Mimics tumour microenvironment	Cytokine Release	Medium / Low (Lab scale)	Drug Discovery		3D-3-culture: A tool to unveil macrophage plasticity in the tumour microenvironment	https://doi.org/10.1016/j.biomaterials.2018.02.030	Rebelo, SP., Pinto, C., Martins, TR., Harrer, N., Estrada, MF., Loza-Alvarez, P., Cabecadas, J., Alves, PM., Gualda, EJ., Sommergruber, W., Brito, C.	2018	8	6
15	Lung Cancer	Tumour microenvironment	3D Spheroid Co-culture	Lung-cancer associated fibroblasts	Mimics tumour microenvironment	Cytokine Release	Medium / Low (Lab scale)	Drug Discovery		3D-3-culture: A tool to unveil macrophage plasticity in the tumour microenvironment	https://doi.org/10.1016/j.biomaterials.2018.02.030	Rebelo, SP., Pinto, C., Martins, TR., Harrer, N., Estrada, MF., Loza-Alvarez, P., Cabecadas, J., Alves, PM., Gualda, EJ., Sommergruber, W., Brito, C.	2018	8	6
15	Lung Cancer	Tumour microenvironment	3D Spheroid Co-culture	NCI-H157	Mimics tumour microenvironment	Cytokine Release	Medium / Low (Lab scale)	Drug Discovery		3D-3-culture: A tool to unveil macrophage plasticity in the tumour microenvironment	https://doi.org/10.1016/j.biomaterials.2018.02.030	Rebelo, SP., Pinto, C., Martins, TR., Harrer, N., Estrada, MF., Loza-Alvarez, P., Cabecadas, J., Alves, PM., Gualda, EJ., Sommergruber, W., Brito, C.	2018	8	6
15	Lung Cancer	Tumour microenvironment	3D Spheroid Co-culture	THP-1 cell line	Mimics tumour microenvironment	Cytokine Release	Medium / Low (Lab scale)	Drug Discovery		3D-3-culture: A tool to unveil macrophage plasticity in the tumour microenvironment	https://doi.org/10.1016/j.biomaterials.2018.02.030	Rebelo, SP., Pinto, C., Martins, TR., Harrer, N., Estrada, MF., Loza-Alvarez, P., Cabecadas, J., Alves, PM., Gualda, EJ., Sommergruber, W., Brito, C.	2018	8	6
16	Lung Cancer	Tumour microenvironment	2D or 3D Culture	A549 cell line	Mimics tumour microenvironment	Metabolism	Medium / Low (Lab scale)	Drug Discovery		Multicomponent Coculture System of Cancer Cells and Two Types of Stromal Cells for In Vitro Evaluation of Anticancer Drugs	https://doi.org/10.1089/ten.tec.2015.0188	Yamazoe, H., Hagihara, Y., Kobayashi, H.	2016	4	3
16	Lung Cancer	Tumour microenvironment	2D or 3D Culture	Human small cell lung cancer WA-hT	Mimics tumour microenvironment	Metabolism	Medium / Low (Lab scale)	Drug Discovery		Multicomponent Coculture System of Cancer Cells and Two Types of Stromal Cells for In Vitro Evaluation of Anticancer Drugs	https://doi.org/10.1089/ten.tec.2015.0188	Yamazoe, H., Hagihara, Y., Kobayashi, H.	2016	4	3
16	Lung Cancer	Tumour microenvironment	2D or 3D Culture	Mouse stromal fibroblasts WA-mFib cells	Mimics tumour microenvironment	Metabolism	Medium / Low (Lab scale)	Drug Discovery		Multicomponent Coculture System of Cancer Cells and Two Types of Stromal Cells for In Vitro Evaluation of Anticancer Drugs	https://doi.org/10.1089/ten.tec.2015.0188	Yamazoe, H., Hagihara, Y., Kobayashi, H.	2016	4	3
16	Lung Cancer	Tumour microenvironment	2D or 3D Culture	THP-1 cell line	Mimics tumour microenvironment	Metabolism	Medium / Low (Lab scale)	Drug Discovery		Multicomponent Coculture System of Cancer Cells and Two Types of Stromal Cells for In Vitro Evaluation of Anticancer Drugs	https://doi.org/10.1089/ten.tec.2015.0188	Yamazoe, H., Hagihara, Y., Kobayashi, H.	2016	4	3
17	Lung Cancer	Tumour microenvironment	Chip or microfluidic system	3T3 Mouse fetal fibroblasts	Mimics tumour microenvironment	Vascularisation	Medium / Low (Lab scale)	Drug Discovery		Fibroblast-associated tumour microenvironment induces vascular structure-networked tumouroid	https://doi.org/10.1038/s41598-018-20886-0	Lee, SW., Kwak, HS., Kang, MH., Park, YY., Jeong, GS.	2018	5	3
18	Lung Cancer	Toxicity	2D or 3D Culture	Primary human NHBE cells	Inhalation toxicity	Tissue / Cell Viability	Medium / Low (Lab scale)	Toxic insult/response		Human Normal Bronchial Epithelial Cells: A Novel In Vitro Cell Model for Toxicity Evaluation	https://doi.org/10.1371/journal.pone.0123520	Feng, WQ., Guo, JJ., Huang, HY., Xia, B., Liu, HY., Li, J., Lin, SL., Li, TY., Liu, JJ., Li, H.	2015	8	19
19	Lung Cancer	Exploratory/ no specific feature	2D or 3D co-culture	3T3 Mouse fetal fibroblasts	Model development - experim	Proliferation	Medium / Low (Lab scale)	Unknown		Conditionally reprogrammed cells (CRC) methodology does not allow the in vitro expansion of patient-derived primary and metastatic lung cancer cells	https://doi.org/10.1002/ijc.31260	Sette, G., Salvati, V., Giordani, I., Pilozzi, E., Quacquarini, D., Duranti, E., De Nicola, F., Pallocca, M., Fanciulli, M., Falchi, M., Pallini, R., De Maria, R., Eramo, A.	2018	4	0
19	Lung Cancer	Exploratory/ no specific feature	2D or 3D co-culture	Human lung tumour tissue	Model development - experim	Proliferation	Medium / Low (Lab scale)	Unknown		Conditionally reprogrammed cells (CRC) methodology does not allow the in vitro expansion of patient-derived primary and metastatic lung cancer cells	https://doi.org/10.1002/ijc.31260	Sette, G., Salvati, V., Giordani, I., Pilozzi, E., Quacquarini, D., Duranti, E., De Nicola, F., Pallocca, M., Fanciulli, M., Falchi, M., Pallini, R., De Maria, R., Eramo, A.	2018	4	0
20	Lung Cancer	Exploratory/ no specific feature	Spheroid	Human lung tumour tissue	Model development - experim	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Drug Discovery		Establishment of patient-derived tumor spheroids for non-small cell lung cancer	https://doi.org/10.1371/journal.pone.0194016	Zhang, ZL., Wang, HQ., Deng, QF., Xing, YF., Xu, ZH., Lug, C., Luo, DD., Xu, LJ., Xia, W., Zhou, CC., Shi, MH.	2018	2	2
21	Lung Cancer	Toxicity	2D or 3D Culture	A549 cell line	Drug development/ testing	Metabolism	Medium / Low (Lab scale)	Drug Discovery		Multilayered Cultures of NSCLC cells grown at the Air-Liquid Interface allow the efficacy testing of inhaled anti-cancer drugs	https://doi.org/10.1038/s41598-018-31332-6	Movia, D., Bazou, D., Volkov, Y., Prina-Mello, A.	2018	1	1
22	Lung Cancer	Angiogenesis	Chip or microfluidic system	Human ECFC-EC endothelial cells	Model development - experim	Vascularisation	Medium / Low (Lab scale)	Disease Progression		Microfluidic device to control interstitial flow-mediated homotypic and heterotypic cellular communication	https://doi.org/10.1039/c5lc00507h	Alonzo, LF., Moya, ML., Shirure, VS., George, SC.	2015	23	20
22	Lung Cancer	Angiogenesis	Chip or microfluidic system	Normal human lung fibroblasts	Model development - experim	Vascularisation	Medium / Low (Lab scale)	Disease Progression		Microfluidic device to control interstitial flow-mediated homotypic and heterotypic cellular communication	https://doi.org/10.1039/c5lc00507h	Alonzo, LF., Moya, ML., Shirure, VS., George, SC.	2015	23	20
23	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	A549 cell line	Mimics tumour microenvironment	Cellular crosstalk	Medium / Low (Lab scale)	Drug Discovery		Development and characterization of a three-dimensional co-culture model of tumor T cell infiltration	https://doi.org/10.1088/1758-5090/8/2/025002	Alonso-Nocelo, M., Abuin, C., Lopez-Lopez, R., de la Fuente, M.	2016	9	10
23	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	Jurkat E6.1 T cells	Mimics tumour microenvironment	Cellular crosstalk	Medium / Low (Lab scale)	Drug Discovery		Development and characterization of a three-dimensional co-culture model of tumor T cell infiltration	https://doi.org/10.1088/1758-5090/8/2/025002	Alonso-Nocelo, M., Abuin, C., Lopez-Lopez, R., de la Fuente, M.	2016	9	10
24	Lung Cancer	Protein expression	2D or 3D Culture	Human primary dermal fibroblasts	Model development - experim	Metabolism	Medium / Low (Lab scale)	Unknown		Three-Dimensional Cell Culture Conditions Affect the Proteome of Cancer-Associated Fibroblasts	https://doi.org/10.1021/acs.jproteome.8b00237	Tolle, RC., Gaggioli, C., Dengjel, J.	2018	1	1
25	Lung Cancer	Protein expression	Chip or microfluidic system	Primary human NHBE cells	Model development - experim	Metabolism	Medium / Low (Lab scale)	Drug Discovery		Glucocorticoid Clearance and Metabolite Profiling in an In Vitro Human Airway Epithelium Lung Model	https://doi.org/10.1124/dmd.115.066365	Rivera-Burgos, D., Sarkar, U., Lever, AR., Avram, MJ., Coppeta, JR., Wishnok, JS., Borenstein, JT., Tannenbaum, SR.	2016	3	3
26	Lung Cancer	Tissue/Cell Viability	3D Spheroid Co-culture	A549 cell line	Drug development/ testing	Tissue / Cell Viability	Medium / Low (Lab scale)	Drug Discovery		Development of three-dimensional lung multicellular spheroids in air- and liquid-interface culture for the evaluation of anticancer therapeutics	https://doi.org/10.3892/ijo.2016.3376	Meenach, SA., Tsoras, AN., McGarry, RC., Mansour, HM., Hilt, JZ., Anderson, KW.	2016	6	5
26	Lung Cancer	Tissue/Cell Viability	3D Spheroid Co-culture	H358 Bronchioalveolar carcinoma	Drug development/ testing	Tissue / Cell Viability	Medium / Low (Lab scale)	Drug Discovery		Development of three-dimensional lung multicellular spheroids in air- and liquid-interface culture for the evaluation of anticancer therapeutics	https://doi.org/10.3892/ijo.2016.3376	Meenach, SA., Tsoras, AN., McGarry, RC., Mansour, HM., Hilt, JZ., Anderson, KW.	2016	6	5
27	Lung Cancer	EGF/EGFR expression	Chip or microfluidic system	H292 human lung tumour	Drug development/ testing	Cytokine Release	Medium / Low (Lab scale)	Drug Discovery		Simultaneous evaluation of anti-EGFR-induced tumour and adverse skin effects in a microfluidic human 3D co-culture model	https://doi.org/10.1038/s41598-018-33462-3	Hubner, J., Raschke, M., Rutschle, I., Grassle, S., Hasenberg, T., Schirrmann, K., Lorenz, A., Schnurre, S., Lauster, R., Maschmeyer, I., Steger-Hartmann, T., Marx, U.	2018	4	3
28	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	A549 cell line	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Drug Discovery		Infiltration of lymphocyte subpopulations into cancer microtissues as a tool for the exploration of immunomodulatory agents and biomarkers	https://doi.org/10.1016/j.imbio.2015.12.010	Koeck, S., Zwierzina, M., Huber, JM., Bitsche, M., Lorenz, E., Gamerith, G., Dudas, J., Kelm, JM., Zwierzina, H., Amann, A.	2016	4	4
28	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	Calu-6	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Drug Discovery		Infiltration of lymphocyte subpopulations into cancer microtissues as a tool for the exploration of immunomodulatory agents and biomarkers	https://doi.org/10.1016/j.imbio.2015.12.010	Koeck, S., Zwierzina, M., Huber, JM., Bitsche, M., Lorenz, E., Gamerith, G., Dudas, J., Kelm, JM., Zwierzina, H., Amann, A.	2016	4	4
28	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	Colo66	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Drug Discovery		Infiltration of lymphocyte subpopulations into cancer microtissues as a tool for the exploration of immunomodulatory agents and biomarkers	https://doi.org/10.1016/j.imbio.2015.12.010	Koeck, S., Zwierzina, M., Huber, JM., Bitsche, M., Lorenz, E., Gamerith, G., Dudas, J., Kelm, JM., Zwierzina, H., Amann, A.	2016	4	4
28	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	Human PBMC	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Drug Discovery		Infiltration of lymphocyte subpopulations into cancer microtissues as a tool for the exploration of immunomodulatory agents and biomarkers	https://doi.org/10.1016/j.imbio.2015.12.010	Koeck, S., Zwierzina, M., Huber, JM., Bitsche, M., Lorenz, E., Gamerith, G., Dudas, J., Kelm, JM., Zwierzina, H., Amann, A.	2016	4	4
29	Lung Cancer	Tumour microenvironment	2D or 3D Culture	Human lung tumour tissue	Disease therapy development	Tissue / Cell Viability	Medium / Low (Lab scale)	Personalised therapy		Culture and Drug Profiling of Patient Derived Malignant Pleural Effusions for Personalized Cancer Medicine	https://doi.org/10.1371/journal.pone.0160807	Ruiz, C., Kustermann, S., Pietilae, E., Vlajnic, T., Baschiera, B., Arabi, L., Lorber, T., Oeggerli, M., Savic, S., Obermann, E., Singer, T., Rothschild, SI., Zippelius, A., Roth, AB., Bubendorf, L.	2016	5	5
30	Lung Cancer	Toxicity	2D or 3D co-culture	16HBE	Drug development/ testing	Protein	Medium / Low (Lab scale)	Drug Discovery		Hybrid Lipid/Polymer Nanoparticles for Pulmonary Delivery of siRNA: Development and Fate Upon In Vitro Deposition on the Human Epithelial Airway Barrier	https://doi.org/10.1089/jamp.2017.1364	d'Angelo, I., Costabile, G., Durantie, E., Brocca, P., Rondelli, V., Russo, A., Russo, G., Miro, A., Quaglia, F., Petri-Fink, A., Rothen-Rutishauser, B., Ungaro, F.	2018	5	5
30	Lung Cancer	Toxicity	2D or 3D co-culture	Human MDDC monocyte-derived dendritic cells	Drug development/ testing	Protein	Medium / Low (Lab scale)	Drug Discovery		Hybrid Lipid/Polymer Nanoparticles for Pulmonary Delivery of siRNA: Development and Fate Upon In Vitro Deposition on the Human Epithelial Airway Barrier	https://doi.org/10.1089/jamp.2017.1364	d'Angelo, I., Costabile, G., Durantie, E., Brocca, P., Rondelli, V., Russo, A., Russo, G., Miro, A., Quaglia, F., Petri-Fink, A., Rothen-Rutishauser, B., Ungaro, F.	2018	5	5
30	Lung Cancer	Toxicity	2D or 3D co-culture	Human MDM monocyte-derived macrophages	Drug development/ testing	Protein	Medium / Low (Lab scale)	Drug Discovery		Hybrid Lipid/Polymer Nanoparticles for Pulmonary Delivery of siRNA: Development and Fate Upon In Vitro Deposition on the Human Epithelial Airway Barrier	https://doi.org/10.1089/jamp.2017.1364	d'Angelo, I., Costabile, G., Durantie, E., Brocca, P., Rondelli, V., Russo, A., Russo, G., Miro, A., Quaglia, F., Petri-Fink, A., Rothen-Rutishauser, B., Ungaro, F.	2018	5	5
31	Lung Cancer	Tumour microenvironment	Chip or microfluidic system	16HBE	Mimics tumour microenvironment	Metabolism	Medium / Low (Lab scale)	Disease Progression		Design and Construction of a Multi-Organ Microfluidic Chip Mimicking the in vivo Microenvironment of Lung Cancer Metastasis	https://doi.org/10.1021/acsami.6b08746	Xu, ZY., Li, EC., Guo, Z., Yu, RF., Hao, HL., Xu, YT., Sun, Z., Li, XC., Lyu, JX., Wang, Q.	2016	27	27
31	Lung Cancer	Tumour microenvironment	Chip or microfluidic system	A549 cell line	Mimics tumour microenvironment	Metabolism	Medium / Low (Lab scale)	Disease Progression		Design and Construction of a Multi-Organ Microfluidic Chip Mimicking the in vivo Microenvironment of Lung Cancer Metastasis	https://doi.org/10.1021/acsami.6b08746	Xu, ZY., Li, EC., Guo, Z., Yu, RF., Hao, HL., Xu, YT., Sun, Z., Li, XC., Lyu, JX., Wang, Q.	2016	27	27
